Fecha,RNN,real
2016-01-01,4.163352012634277,4.435601234436035
2016-01-04,4.127533912658691,4.335245132446289
2016-01-05,3.994631052017212,4.271071910858154
2016-01-06,3.9126269817352295,4.168580055236816
2016-01-07,3.8070590496063232,4.078764915466309
2016-01-08,3.844762086868286,3.984365940093994
2016-01-11,3.89377498626709,3.975234031677246
2016-01-12,3.9088571071624756,4.015037536621094
2016-01-13,3.8730390071868896,4.0474772453308105
2016-01-14,3.7684130668640137,4.037837982177734
2016-01-15,3.7212839126586914,3.965303897857666
2016-01-18,3.6977200508117676,3.9018144607543945
2016-01-19,3.5195729732513428,3.864306926727295
2016-01-20,3.6270270347595215,3.747021198272705
2016-01-21,3.7882070541381836,3.758150100708008
2016-01-22,3.633625030517578,3.8788559436798096
2016-01-25,3.7608718872070312,3.8438117504119873
2016-01-26,3.7533318996429443,3.891141891479492
2016-01-27,3.618544101715088,3.911280870437622
2016-01-28,3.709031105041504,3.8325886726379395
2016-01-29,3.5874390602111816,3.8443846702575684
2016-02-01,3.4026939868927,3.7842578887939453
2016-02-02,3.2641360759735107,3.6432759761810303
2016-02-03,3.4488799571990967,3.4966928958892822
2016-02-04,3.5337119102478027,3.547093629837036
2016-02-05,3.314091920852661,3.6474714279174805
2016-02-08,3.1859021186828613,3.5661702156066895
2016-02-09,3.349910020828247,3.437476634979248
2016-02-10,3.119921922683716,3.4736406803131104
2016-02-11,3.282043933868408,3.3786089420318604
2016-02-12,3.4017510414123535,3.4176313877105713
2016-02-15,3.3960959911346436,3.524359941482544
2016-02-16,3.541253089904785,3.57340931892395
2016-02-17,3.406464099884033,3.672043561935425
2016-02-18,3.298068046569824,3.633214235305786
2016-02-19,3.4630188941955566,3.5341804027557373
2016-02-22,3.403636932373047,3.5808820724487305
2016-02-23,3.241513967514038,3.581881523132324
2016-02-24,3.322575092315674,3.482025146484375
2016-02-25,3.474329948425293,3.474947690963745
2016-02-26,3.5374820232391357,3.5752615928649902
2016-02-29,3.6110029220581055,3.667680501937866
2016-03-01,3.81459903717041,3.7472341060638428
2016-03-02,3.81459903717041,3.89988374710083
2016-03-03,3.8852920532226562,3.961124897003174
2016-03-04,3.8673830032348633,4.013877868652344
2016-03-07,3.905086040496826,4.015676021575928
2016-03-08,3.8749239444732666,4.030206680297852
2016-03-09,3.9163970947265625,4.0147809982299805
2016-03-10,4.1963419914245605,4.030032634735107
2016-03-11,4.254782199859619,4.217400550842285
2016-03-14,4.066267013549805,4.336915016174316
2016-03-15,3.9701240062713623,4.250436782836914
2016-03-16,4.000286102294922,4.135898590087891
2016-03-17,4.036104202270508,4.106907367706299
2016-03-18,3.991802930831909,4.128401279449463
2016-03-21,3.9305360317230225,4.11595344543457
2016-03-22,3.846647024154663,4.072045803070068
2016-03-23,3.7608718872070312,4.002150535583496
2016-03-24,3.7391929626464844,3.922456741333008
