Fecha,h.1,rend_san
2016-01-01,4.147539307234576,0.0
2016-01-04,3.7568905157470596,3.093463856424594
2016-01-05,4.434298609695174,0.860318797615256
2016-01-06,4.089475749907229,3.2199095986560122
2016-01-07,4.807914124944226,2.0528571779006244
2016-01-08,4.784702028438086,2.698134338430791
2016-01-11,5.088159729667261,0.99034548113619
2016-01-12,4.6714809482373,1.2747966789988574
2016-01-13,4.373844008919476,0.3873393030819461
2016-01-14,3.9669794817426647,0.916331781736246
2016-01-15,3.693280691414036,2.7013913396877753
2016-01-18,4.139613467496144,1.2506366305682581
2016-01-19,3.921314252806734,0.6332185987413252
2016-01-20,3.605916993550646,4.81775459235525
2016-01-21,5.735337022085568,3.0530425800182837
2016-01-22,6.0899276591227895,4.443860435392333
2016-01-25,7.475448804913645,4.080611788411681
2016-01-26,8.41669158527834,3.501925917527271
2016-01-27,8.728302752191732,0.20048509468602038
2016-01-28,7.751312637193307,3.591150517242525
2016-01-29,8.26248554693939,2.500646690571706
2016-02-01,7.974702286530981,3.2782697525789994
2016-02-02,8.231029389511614,5.149775932573086
2016-02-03,10.109796608760426,4.072006223683921
2016-02-04,10.703292513359894,5.659809423554352
2016-02-05,12.76425837048092,2.4596957302509326
2016-02-08,11.873922435509227,6.21499417533844
2016-02-09,14.550151306304723,3.8680219267068106
2016-02-10,14.399835850358947,5.147926585176799
2016-02-11,15.41035298466613,6.865500766127086
2016-02-12,18.520335635955664,5.196348344680279
2016-02-15,19.050296325457104,3.6473340989939596
2016-02-16,18.095258179147155,0.1662393928558048
2016-02-17,15.906435821803974,4.2742342722075
2016-02-18,15.870678182049218,3.8062512505813606
2016-02-19,15.49994568190181,3.18206944608338
2016-02-22,14.71856180479305,5.001438578482054
2016-02-23,15.5340151907748,1.7147455337896411
2016-02-24,13.989932686126965,4.763227338292375
2016-02-25,14.722861604252003,2.500718047616579
2016-02-26,13.600376995811628,4.567386797685691
2016-02-29,14.130598180204053,1.8176763793682271
2016-03-01,12.781984648814092,2.0783398568807288
2016-03-02,11.711655295995884,5.638215185831652
2016-03-03,13.617063863693396,0.0
2016-03-04,12.002868281364487,1.8532227204850482
2016-03-07,10.942529467472372,0.46094475633918774
2016-03-08,9.69913671174034,0.9748979408149117
2016-03-09,8.683620295747613,0.7723798070201293
2016-03-10,7.774200770086893,1.0702958521920936
2016-03-11,7.027085134530619,7.148021253384762
2016-03-14,11.53848195175038,1.3926464657667115
2016-03-15,10.385519988978924,4.430665953148772
2016-03-16,11.26345324854039,2.3644046728380164
2016-03-17,10.551569958547212,0.7597267988585399
2016-03-18,9.388479506727842,0.895388456216617
2016-03-21,8.398147412885365,1.097624571082112
2016-03-22,7.591152307744155,1.534817729494442
2016-03-23,7.011246256469926,2.134289239210585
2016-03-24,6.739407652486278,2.229867633006477
2016-03-25,6.546783836389176,0.0
2016-03-28,5.846131313817968,0.0
2016-03-29,5.236009328485,0.5764334763513124
2016-03-30,4.743205164668162,0.2268653457891956
2016-03-31,4.279427553283733,2.5653716559665862
2016-04-01,4.574489972504934,2.0392547646053916
2016-04-04,4.575548939814379,0.3689050402780891
2016-04-05,4.146252268853771,3.4646842705274183
2016-04-06,5.029433613594879,0.3013637285637749
2016-04-07,4.536321559099356,1.7312379366776764
2016-04-08,4.419269580353314,2.432888149107937
2016-04-11,4.593698671520111,1.8564001936820285
2016-04-12,4.491896909553146,1.098885975351549
2016-04-13,4.17515191239254,7.58217109516508
2016-04-14,9.718262506706768,0.7639309025190499
2016-04-15,8.663481767044466,0.7825799820260659
2016-04-18,7.758384985318219,1.7007725422393705
2016-04-19,7.191059188268604,1.0421586384232517
2016-04-20,6.513288394378437,3.5979814958316814
2016-04-21,7.141228596394484,2.801582015826254
2016-04-22,7.162505342160647,0.675668131083329
2016-04-25,6.425308985644836,2.01340048780283
2016-04-26,6.176137855388858,3.333304843449625
2016-04-27,6.6583267166780455,1.5687224805997158
2016-04-28,6.1890544469363284,0.6525922607384604
2016-04-29,5.57459898960763,4.452121143737808
2016-05-02,7.094141858905637,1.1083421977213237
2016-05-03,6.458170598183257,4.849044152845295
2016-05-04,8.250770641233592,2.4519334925056535
2016-05-05,7.972652919297139,0.44355589209399415
2016-05-06,7.1112394651986826,0.643567201776829
2016-05-09,6.376471657273796,2.582386587025176
2016-05-10,6.409815208412837,2.8780505342635765
2016-05-11,6.5703226993866854,0.883417076942905
2016-05-12,5.95385717182786,0.2723641080581207
2016-05-13,5.339373433016618,0.8192673515329041
2016-05-16,4.859137840930802,0.09849307403031471
2016-05-17,4.378216551711955,0.24649726796159843
2016-05-18,3.9624347783466667,1.5490470940393797
2016-05-19,3.8352382179404887,1.0411677070749303
2016-05-20,3.6048544914788065,1.419122963218955
2016-05-23,3.484564354839146,1.7611312462836426
2016-05-24,3.514484142370939,2.799590295374821
2016-05-25,4.0032198677995545,6.067846399297316
2016-05-26,7.425607334413845,1.8468444551597463
2016-05-27,6.97909796109566,0.9637410173827909
2016-05-30,6.312856743566573,0.31818056914012516
2016-05-31,5.650836852798991,2.7865903227311195
2016-06-01,5.893512217002748,2.773241434859286
2016-06-02,6.09701130875083,0.767010863314499
2016-06-03,5.5105988874070935,3.5917991263443416
2016-06-06,6.3117815897727025,0.7401840980306718
2016-06-07,5.693587562840056,1.4450207977208196
2016-06-08,5.310966830019618,1.3761569576664523
2016-06-09,4.9765061777132065,0.4651135718610866
2016-06-10,4.504406834886406,5.041816011044431
2016-06-13,6.749352112048978,3.4964908521199933
2016-06-14,7.319466481579921,2.710682450480073
